Run_ID,Experiment,Replica,Tool_ID,Group,Subgroup,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,CTime,R_measurement,ap,vc,f,Ra,Rz,Rsk,Rku,RSm,Rt,Fx,Fy,Fz,F
2_043_L1_4_a,2,1,43,1,na,a,4,0,12,87.1,86.6,na,1,0.25,350,0.13,1.05,4.504,0.959,2.728,132.5,4.864,80.23,61.8,28.33,105.1602672
2_043_L1_4_a,2,1,43,1,na,a,4,0,12,87.1,86.6,na,2,0.25,350,0.13,1.088,4.791,0.904,2.637,129.7,5.776,80.23,61.8,28.33,105.1602672
2_043_L1_4_a,2,1,43,1,na,a,4,0,12,87.1,86.6,na,3,0.25,350,0.13,1.056,4.451,0.984,2.741,130.9,4.696,80.23,61.8,28.33,105.1602672
2_043_L1_4_a,2,1,43,1,na,a,4,0,12,87.1,86.6,na,4,0.25,350,0.13,1.059,4.518,0.99,2.758,127.3,4.802,80.23,61.8,28.33,105.1602672
2_043_L1_4_a,2,1,43,1,na,a,4,0,12,87.1,86.6,na,5,0.25,350,0.13,1.062,4.578,1.025,2.838,128.3,4.814,80.23,61.8,28.33,105.1602672
2_043_L1_4_a,2,1,43,1,na,a,4,0,12,87.1,86.6,na,6,0.25,350,0.13,1.037,4.462,1.105,2.929,129.1,4.641,80.23,61.8,28.33,105.1602672
2_043_L1_2_b,2,1,43,1,na,b,2,0,12,87.1,86.6,na,1,0.25,350,0.09,0.441,2.136,0.985,3.052,91.4,2.537,63.37,52.39,27.34,86.64839641
2_043_L1_2_b,2,1,43,1,na,b,2,0,12,87.1,86.6,na,2,0.25,350,0.09,0.319,1.679,0.878,3.145,90.4,1.913,63.37,52.39,27.34,86.64839641
2_043_L1_2_b,2,1,43,1,na,b,2,0,12,87.1,86.6,na,3,0.25,350,0.09,0.377,1.905,0.893,3.053,93.8,2.05,63.37,52.39,27.34,86.64839641
2_043_L1_2_b,2,1,43,1,na,b,2,0,12,87.1,86.6,na,4,0.25,350,0.09,0.331,1.743,1.077,3.437,85.8,1.883,63.37,52.39,27.34,86.64839641
2_043_L1_2_b,2,1,43,1,na,b,2,0,12,87.1,86.6,na,5,0.25,350,0.09,0.333,1.782,1.156,3.574,88.3,1.852,63.37,52.39,27.34,86.64839641
2_043_L1_2_b,2,1,43,1,na,b,2,0,12,87.1,86.6,na,6,0.25,350,0.09,0.37,1.908,0.918,3.109,89.8,1.989,63.37,52.39,27.34,86.64839641
